Pressure (Pa),Enthalpy Vapor (J/kg)
8157009.618349189,2756327.2025215034
8266270.278401379,2754661.9633774525
8376650.378341407,2752958.38294825
8488158.331577403,2751215.8130500885
8600802.621818421,2749433.585700352
8714591.804911815,2747611.0122567234
8829534.510760602,2745747.382507714
8945639.445317315,2743841.9637112417
9062915.39265899,2741893.999577374
9181371.217145123,2739902.709191337
9301015.865679108,2737867.2858722587
9421858.370052826,2735786.8959627193
9543907.849398945,2733660.677544087
9667173.512753518,2731487.739071562
9791664.661716724,2729267.1579228616
9917390.693256143,2726997.9788535256
10044361.102611901,2724679.2123511476
10172585.486349802,2722309.8328804257
10302073.54554722,2719888.7770096827
10432835.089135908,2717414.941408701
10564880.037386384,2714887.180706837
10698218.425577981,2712304.305199072
10832860.407823045,2709665.078386114
10968816.261097105,2706968.2143336916
11106096.38945029,2704212.374834049
11244711.32843245,2701396.166350839
11384671.749738112,2698518.136726739
11525988.466077842,2695576.7716303132
11668672.436303746,2692570.490716072
11812734.770779274,2689497.643468555
11958186.737572733,2686356.504697486
12105039.766140295,2683145.2696472076
12253305.45707543,2679862.0486784107
12402995.586207109,2676504.86147541
12554122.112116452,2673071.630725099
12706697.183354437,2669560.175207331
12860733.146015707,2665968.202227216
13016242.551683903,2662293.2993106814
13173238.165756932,2658532.925072716
13331732.976161607,2654684.3991545537
13491740.202481218,2650744.8911100836
13653273.305480892,2646711.4081033054
13816345.997063778,2642580.7812562487
13980972.250640674,2638349.650460881
14147166.311928185,2634014.4474365306
14314942.710173842,2629571.376777161
14484316.269809484,2625016.3946868246
14655302.122532338,2620345.185046353
14827915.719822329,2615553.132387251
15002172.845899463,2610635.2912657633
15178089.631146252,2605586.3514282717
15355682.566035539,2600400.598032415
15534968.515626648,2595071.866030912
15715964.73474405,2589593.4876247477
15898688.884016536,2583958.231441956
16083159.04705117,2578158.2317745523
16269393.74915921,2572184.9057922675
16457411.97825522,2566028.8561120005
16647233.208841933,2559679.7553942804
16838877.43041511,2553126.2087017773
17032365.182208538,2546355.5880984925
17227717.597037748,2539353.8322711736
17424956.458153605,2532105.2016262887
17624104.27464432,2524591.9760892056
17825184.38312892,2516794.0782993813
18028221.086461607,2508688.598437938
18233239.844100207,2500249.1875988226
18440267.533721607,2491445.272935727
18649332.809563328,2482241.0274374792
18860466.587519474,2472593.996280073
19073702.701430984,2462453.233993769
19289078.752767958,2451756.7311417544
19506637.199485533,2440427.786953459
19726426.674627833,2428369.7788768895
19948503.485087566,2415458.4211190185
20172933.14316424,2401529.944154246
20399791.64226754,2386362.339265707
20629165.971596688,2369644.120252675
20861152.98925782,2350918.937308439
21095855.009179287,2329478.89721799
21333369.298886925,2304133.466120599
21573771.038768534,2272603.5051487996
21817134.170398563,2229162.2964618737
22064000.00000115,2084256.255907945
